time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uavCont}.controller2.pitchOut,{uavCont}.controller2.rollOut,{uavCont}.controller2.throttleOut,{uavCont}.controller2.yawOut,{uavCont}.controller3.pitchOut,{uavCont}.controller3.rollOut,{uavCont}.controller3.throttleOut,{uavCont}.controller3.yawOut,{uavGlobalCont}.global.uav1TargetX,{uavGlobalCont}.global.uav1TargetY,{uavGlobalCont}.global.uav1TargetZ,{uavGlobalCont}.global.uav2TargetX,{uavGlobalCont}.global.uav2TargetY,{uavGlobalCont}.global.uav2TargetZ,{uavGlobalCont}.global.uav3TargetX,{uavGlobalCont}.global.uav3TargetY,{uavGlobalCont}.global.uav3TargetZ,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ,{uav}.uav2.batteryCharge,{uav}.uav2.currentYaw,{uav}.uav2.velX,{uav}.uav2.velY,{uav}.uav2.velZ,{uav}.uav3.batteryCharge,{uav}.uav3.currentYaw,{uav}.uav3.velX,{uav}.uav3.velY,{uav}.uav3.velZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6480.0,0.0,0.0,0.0,0.0,6480.0,0.0,0.0,0.0,0.0,6480.0,0.0,0.0,0.0,0.0
0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6480.0,0.0,0.0,0.0,-1.0769745290617336,6480.0,0.0,0.0,0.0,-1.0769745290617336,6480.0,0.0,0.0,0.0,-1.0769745290617336
0.2,0.1,-0.35,0.35,6.1769745290617335,0.0,0.0,0.0,1.0769745290617336,0.0,0.0,0.0,1.0769745290617336,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6480.0,0.0,0.0,0.0,-1.9492758444400105,6480.0,0.0,0.0,0.0,-1.9492758444400105,6480.0,0.0,0.0,0.0,-1.9492758444400105
0.30000000000000004,0.1,-0.35,0.35,7.9492758444400105,0.0,0.0,0.0,1.9492758444400105,0.0,0.0,0.0,1.9492758444400105,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6477.374173061109,0.0,0.2655972882863393,0.2655972882863392,-0.4775783975899437,6477.8102678571395,0.0,0.0,0.0,-0.4404709488438877,6477.8102678571395,0.0,0.0,0.0,-0.4404709488438877
0.4,0.1,-0.35,0.35,7.077578397589943,0.0,0.0,0.0,0.4404709488438877,0.0,0.0,0.0,0.4404709488438877,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6474.293364224209,0.0,0.840778490192529,0.840778490192529,0.8777463617307193,6475.620535714279,0.0,0.0,0.0,1.058437165114366,6475.620535714279,0.0,0.0,0.0,1.058437165114366
0.5,0.1,-0.35,0.35,7.061126819134641,0.0,0.0,0.0,-0.529218582557183,0.0,0.0,0.0,-0.529218582557183,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6471.055474977037,0.0,1.5367084818772143,1.5367084818772143,2.1460535726624124,6474.656022319605,0.0,0.0,0.0,1.1639278961028474,6474.656022319605,0.0,0.0,0.0,1.1639278961028474
0.6,0.1,-0.35,0.35,7.026973213668794,0.0,0.0,0.0,-0.5819639480514237,0.0,0.0,0.0,-0.5819639480514237,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6467.75709515543,0.0,2.274966547645866,2.274966547645866,3.3487728870522178,6474.656022319605,0.0,0.0,0.0,0.1802120576637596,6474.656022319605,0.0,0.0,0.0,0.1802120576637596
0.7,0.1,-0.35,0.35,7.325613556473892,0.0,0.0,0.0,-0.0901060288318798,0.0,0.0,0.0,-0.0901060288318798,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6464.433649246706,0.0,3.019522183282854,3.019522183282854,4.493441756890977,6474.656022319605,0.0,0.0,0.0,-0.7999289394777772,6474.656022319605,0.0,0.0,0.0,-0.7999289394777772
0.7999999999999999,0.1,-0.35,0.35,7.353279121554509,0.0,0.0,0.0,0.7999289394777772,0.0,0.0,0.0,0.7999289394777772,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6461.0993696977175,0.0,3.7519540554364355,3.7519540554364355,5.579172551251621,6474.656022319605,0.0,0.0,0.0,-1.7722549752566825,6474.656022319605,0.0,0.0,0.0,-1.7722549752566825
0.8999999999999999,0.1,-0.35,0.35,7.710413724374188,0.0,0.0,0.0,1.7722549752566825,0.0,0.0,0.0,1.7722549752566825,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6457.760307353448,0.0,4.461791429625552,4.461791429625552,6.601876060792258,6472.904392208829,0.0,0.0,0.0,-0.760328507290981,6472.904392208829,0.0,0.0,0.0,-0.760328507290981
