time , step-size , {uav2}.uav2.batteryCharge , {uav2}.uav2.currentPitch , {uav2}.uav2.currentRoll , {uav2}.uav2.currentYaw , {uav2}.uav2.posX , {uav2}.uav2.posY , {uav2}.uav2.posZ , {uav2}.uav2.velX , {uav2}.uav2.velY , {uav2}.uav2.velZ , {uavCont2}.controller2.pitchOut , {uavCont2}.controller2.rollOut , {uavCont2}.controller2.throttleOut , {uavCont2}.controller2.yawOut , {uavCont}.controller.pitchOut , {uavCont}.controller.rollOut , {uavCont}.controller.throttleOut , {uavCont}.controller.yawOut , {uavGlobalCont}.global.uav1TargetX , {uavGlobalCont}.global.uav1TargetY , {uavGlobalCont}.global.uav1TargetZ , {uavGlobalCont}.global.uav2TargetX , {uavGlobalCont}.global.uav2TargetY , {uavGlobalCont}.global.uav2TargetZ , {uav}.uav.batteryCharge , {uav}.uav.currentPitch , {uav}.uav.currentRoll , {uav}.uav.currentYaw , {uav}.uav.posX , {uav}.uav.posY , {uav}.uav.posZ , {uav}.uav.velX , {uav}.uav.velY , {uav}.uav.velZ
0.65 , 0.05 , 6465.231007735608 , 0.3471139235929382 , 0.18192701383961682 , 0.0 , 4.795126744748933 , 4.158491482260742 , 1.226594490217757 , 0.13999205592943784 , -3.6061926089219107 , 4.893467199207126 , 0.35 , 0.2 , 4.48 , 0.0 , 0.35 , -0.35 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6472.332122004942 , 0.3471139235929382 , -0.3471139235929382 , 0.0 , 4.424210024568891 , 4.424210024568891 , 0.46386119789696034 , -1.5654318122376027 , -1.5654318122376027 , -0.8998534574664545
0.7000000000000001 , 0.05 , 6463.663142014177 , 0.348064528397646 , 0.1878798248731155 , 0.0 , 4.8074557319907125 , 3.9686774982649635 , 1.4860340240188097 , 0.3543314077615769 , -3.985177183704578 , 5.481047853268968 , 0.35 , 0.2 , 4.6000000000000005 , 0.0 , 0.35 , -0.35 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6470.6629738006495 , 0.348064528397646 , -0.348064528397646 , 0.0 , 4.336585676157002 , 4.336585676157002 , 0.4329545681311335 , -1.9549116430887992 , -1.9549116430887992 , -0.2930917235329692
0.7500000000000001 , 0.05 , 6462.091150532537 , 0.34870202662883326 , 0.19187192178410684 , 0.0 , 4.830641334686975 , 3.760086140581178 , 1.7744214211837641 , 0.5738108273385075 , -4.357146740524082 , 6.05126055179041 , 0.35 , 0.0 , 3.49 , 0.0 , 0.35 , -0.35 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6468.993059660673 , 0.34870202662883326 , -0.34870202662883326 , 0.0 , 4.229165854985107 , 4.229165854985107 , 0.433427961346204 , -2.341235873046718 , -2.341235873046718 , 0.3118513912875194
0.8000000000000002 , 0.05 , 6460.542928094649 , 0.3491295481317272 , 0.12820897843139317 , 0.0 , 4.864276395168339 , 3.533047603444872 , 2.090978299527773 , 0.75720292296078 , -4.723820898998817 , 6.6100957117726775 , 0.35 , 0.0 , 3.08 , 0.0 , 0.35 , -0.35 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6467.322633426521 , 0.3491295481317272 , -0.3491295481317272 , 0.0 , 4.102526929678956 , 4.102526929678956 , 0.4641156950883162 , -2.723515268612582 , -2.723515268612582 , 0.9152423292033777
0.8500000000000002 , 0.05 , 6459.038995502878 , 0.3494162542377132 , 0.08597999564862695 , 0.0 , 4.905383851068728 , 3.28778937953501 , 2.4352615765713863 , 0.8781913304494434 , -5.085307036926626 , 7.1587329993673485 , 0.35 , 0.0 , 1.5300000000000011 , 0.0 , 0.35 , -0.35 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6465.651864471993 , 0.3494162542377132 , -0.3494162542377132 , 0.0 , 3.9568925557851267 , 3.9568925557851267 , 0.5249015697036716 , -3.100911706552103 , -3.100911706552103 , 1.5154737332292396
0.9000000000000002 , 0.05 , 6457.5661900211335 , 0.34960852618345933 , 0.0576602336449767 , 0.0 , 4.951448820645953 , 3.0246383926350218 , 2.8065944161413974 , 0.9584127209859093 , -5.439242946449617 , 7.69140780053086 , 0.35 , 0.0 , 1.5900000000000007 , 0.0 , 0.35 , -0.35 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6465.651864471993 , 0.34960852618345933 , -0.34960852618345933 , 0.0 , 3.802051188499103 , 3.802051188499103 , 0.5893846084603518 , -3.0769347215930596 , -3.0769347215930596 , 1.0207402583894045
0.9500000000000003 , 0.05 , 6456.115269039516 , 0.34973746833135616 , 0.038668326497483335 , 0.0 , 5.0007902561241435 , 2.7440057725345732 , 3.2041026122989287 , 1.0112174259396416 , -5.784407234546752 , 8.205401887902687 , 0.19999999999999996 , 0.0 , 1.1500000000000004 , 0.0 , 0.040000000000000036 , -0.040000000000000036 , -0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6465.651864471993 , 0.34973746833135616 , -0.34973746833135616 , 0.0 , 3.648793275099771 , 3.648793275099771 , 0.6281118100793484 , -3.053446623236894 , -3.053446623236894 , 0.5286920457008163
1.0000000000000002 , 0.05 , 6454.696560108277 , 0.30006883601509626 , 0.02593190106239252 , 0.0 , 5.052283745376537 , 2.4468126196334365 , 3.626973776974689 , 1.0459202709505555 , -6.090377515706429 , 8.709497908447922 , 0.19999999999999996 , 0.0 , 1.2100000000000009 , 0.0 , 0.040000000000000036 , -0.040000000000000036 , -0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6465.651864471993 , 0.24699672508942108 , -0.24699672508942108 , 0.0 , 3.4967008329231666 , 3.4967008329231666 , 0.6422745358374858 , -3.0303144052511866 , -3.0303144052511866 , 0.037943301710985256
1.0500000000000003 , 0.05 , 6453.317893633252 , 0.2671085456760366 , 0.017390550707010302 , 0.0 , 5.10518973251124 , 2.13587342869426 , 4.0749472096138435 , 1.0685113523165337 , -6.338742639617533 , 9.207496233181958 , -0.28 , -0.35 , -0.4299999999999997 , 0.0 , 0.040000000000000036 , -0.040000000000000036 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6465.651864471993 , 0.17881693575767973 , -0.17881693575767973 , 0.0 , 3.3457562697341334 , 3.3457562697341334 , 0.63191082450571 , -3.007530040270775 , -3.007530040270775 , -0.45240119871343687
1.1000000000000003 , 0.05 , 6453.317893633252 , 0.08578825688436786 , -0.10443272499779788 , 0.0 , 5.158564750285875 , 1.8211036630190833 , 4.519163698923201 , 1.0656624540740924 , -6.239658941275416 , 8.519534536602446 , -0.28 , -0.35 , -0.39999999999999947 , 0.0 , 0.040000000000000036 , -0.040000000000000036 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6465.651864471993 , 0.13309394457727397 , -0.13309394457727397 , 0.0 , 3.195942388634357 , 3.195942388634357 , 0.5970521950926372 , -2.9850857405525923 , -2.9850857405525923 , -0.9416381984966581
1.1500000000000004 , 0.05 , 6453.317893633252 , -0.034693679646886244 , -0.18531673448725813 , 0.0 , 5.2117770165097275 , 1.511530014514237 , 4.928564171122332 , 1.0628309071938853 , -6.143821260556984 , 7.861339164440978 , -0.28 , -0.35 , -2.0999999999999996 , 0.0 , 0.040000000000000036 , -0.040000000000000036 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6465.651864471993 , 0.10243101729377503 , -0.10243101729377503 , 0.0 , 3.0472423763049403 , 3.0472423763049403 , 0.5377838314996918 , -2.9629739491008156 , -2.9629739491008156 , -1.4285780320035832
1.2000000000000004 , 0.05 , 6453.317893633252 , -0.11549173689245329 , -0.23955947839671618 , 0.0 , 5.264848081112836 , 1.2066751616454587 , 5.305703286378493 , 1.0600143677092018 , -6.0508830518305725 , 7.228525177578084 , -0.35 , -0.35 , -1.5999999999999996 , 0.0 , 0.24 , -0.24 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6464.367124264922 , 0.08186772768126022 , -0.08186772768126022 , 0.0 , 2.896848944062375 , 2.896848944062375 , 0.48367250533563416 , -3.0530223462790826 , -3.0530223462790826 , -0.6868041537637506
1.2500000000000004 , 0.05 , 6453.317893633252 , -0.19289588770923766 , -0.275935954852306 , 0.0 , 5.317778691484414 , 0.9063974068882196 , 5.651775891903312 , 1.0572127166250467 , -5.9607146958472965 , 6.618184440119744 , -0.35 , -0.35 , -2.329999999999999 , 0.0 , -0.24 , 0.24 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6463.049592822668 , 0.13441763438239504 , -0.13441763438239504 , 0.0 , 2.7417691303570058 , 2.7417691303570058 , 0.46776599015829595 , -3.1624701827385095 , -3.1624701827385095 , 0.04757545265427812
1.3000000000000005 , 0.05 , 6453.317893633252 , -0.24464223912860042 , -0.3003308866708888 , 0.0 , 5.370569589095376 , 0.6105613407718843 , 5.967839411242607 , 1.0544258362011378 , -5.873194185942139 , 6.027718574167354 , -0.35 , -0.35 , -2.3599999999999994 , 0.0 , -0.24 , 0.24 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6461.807484069688 , 0.009977617229906213 , -0.009977617229906213 , 0.0 , 2.581342407000747 , 2.581342407000747 , 0.4885366053725554 , -3.224231886969051 , -3.224231886969051 , 0.7875469621215722
1.3500000000000005 , 0.05 , 6453.317893633252 , -0.2793445753011794 , -0.31669070918310616 , 0.0 , 5.423221509560643 , 0.3190374752433943 , 6.254828079450772 , 1.0516536099354117 , -5.788206577262123 , 5.454790440058206 , -0.35 , -0.35 , -1.889999999999999 , 0.0 , -0.24 , 0.24 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6460.639823029748 , -0.07235905390835959 , 0.07235905390835959 , 0.0 , 2.421373363586553 , 2.421373363586553 , 0.5465423657775496 , -3.1563885106461425 , -3.1563885106461425 , 1.530696984115163
