time , step-size , {uav2}.uav2.batteryCharge , {uav2}.uav2.currentYaw , {uav2}.uav2.posX , {uav2}.uav2.posY , {uav2}.uav2.posZ , {uav2}.uav2.velX , {uav2}.uav2.velY , {uav2}.uav2.velZ , {uavCont2}.controller2.pitchOut , {uavCont2}.controller2.rollOut , {uavCont2}.controller2.throttleOut , {uavCont2}.controller2.yawOut , {uavCont}.controller.pitchOut , {uavCont}.controller.rollOut , {uavCont}.controller.throttleOut , {uavCont}.controller.yawOut , {uav}.uav.batteryCharge , {uav}.uav.currentYaw , {uav}.uav.posX , {uav}.uav.posY , {uav}.uav.posZ , {uav}.uav.velX , {uav}.uav.velY , {uav}.uav.velZ
0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0
0.05 , 0.05 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.48773978499389453 , 0.0 , 0.0 , -0.4903016023394045 , 0.35 , -0.35 , 1.23 , 0.0 , 0.35 , -0.35 , 1.23 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.48773978499389453 , 0.0 , 0.0 , -0.4903016023394045
0.1 , 0.05 , 6478.510403587067 , 0.0 , 4.997969324272113 , 4.997969324272113 , 0.4839489532254772 , -0.10458567562874094 , -0.10458567562874094 , 0.40015348880426715 , 0.35 , -0.28 , 4.95 , 0.0 , 0.35 , -0.35 , 1.26 , 0.0 , 6478.510403587067 , 0.0 , 4.997969324272113 , 4.997969324272113 , 0.4839489532254772 , -0.10458567562874094 , -0.10458567562874094 , 0.40015348880426715
0.15000000000000002 , 0.05 , 6477.088741525001 , 0.0 , 4.988108711638434 , 4.9878780684296 , 0.5219332411961797 , -0.29939022670508086 , -0.31421222585107633 , 1.1144320860519574 , 0.35 , -0.28 , 6.07 , 0.0 , 0.35 , -0.35 , 2.29 , 0.0 , 6477.078757476663 , 0.0 , 4.987884714229073 , 4.987884714229073 , 0.5218955108917545 , -0.31373280464046016 , -0.3137328046404601 , 1.1118799965730402
0.2 , 0.05 , 6475.892614526115 , 0.0 , 4.972457771665976 , 4.97108731205761 , 0.5776177663093484 , -0.48757018086400017 , -0.5321164793225552 , 1.6666328763845946 , 0.35 , 0.2 , 5.1899999999999995 , 0.0 , 0.35 , -0.35 , 1.3199999999999998 , 0.0 , 6475.8642498583595 , 0.0 , 4.971137523664154 , 4.971137523664154 , 0.577369202597763 , -0.530221003887971 , -0.5302210038879709 , 1.6579991381605226
0.25 , 0.05 , 6474.417951152935 , 0.0 , 4.943140523784582 , 4.936733267302298 , 0.6780188728918523 , -0.6530790634005226 , -0.8504669960766336 , 2.35075711607362 , 0.35 , 0.2 , 4.93 , 0.0 , 0.35 , -0.35 , 0.8799999999999999 , 0.0 , 6474.293364224209 , 0.0 , 4.937025118998294 , 4.937025118998294 , 0.6767905568153417 , -0.840778490192529 , -0.840778490192529 , 2.313776898916764
0.3 , 0.05 , 6473.025121630864 , 0.0 , 4.90929449399382 , 4.885478251454455 , 0.8125818561463882 , -0.6814631485356117 , -1.2045245025963194 , 3.0291210221976903 , 0.35 , 0.2 , 5.05 , 0.0 , 0.35 , -0.35 , 0.9099999999999999 , 0.0 , 6472.878671270073 , 0.0 , 4.887577273082671 , 4.887577273082671 , 0.8050589744210956 , -1.1391041319571624 , -1.1391041319571624 , 2.807807235255511
0.35 , 0.05 , 6471.5983309311905 , 0.0 , 4.876381766602086 , 4.815963537304673 , 0.9806362278287923 , -0.6223159888204878 , -1.578702886150966 , 3.6893578128494444 , 0.35 , 0.2 , 4.67 , 0.0 , 0.35 , -0.35 , 0.43999999999999995 , 0.0 , 6471.395113178176 , 0.0 , 4.822573331175251 , 4.822573331175251 , 0.9582177306159486 , -1.46366735452457 , -1.46366735452457 , 3.316627236618946
0.39999999999999997 , 0.05 , 6470.116370390478 , 0.0 , 4.8479774620724285 , 4.727440570617 , 1.181175992185074 , -0.505463369454207 , -1.9635176088563173 , 4.328327990650087 , 0.35 , 0.2 , 4.29 , 0.0 , 0.35 , -0.35 , 0.47 , 0.0 , 6470.671491160185 , 0.0 , 4.745266265645833 , 4.745266265645833 , 1.1238962302787516 , -1.6222997020257672 , -1.6222997020257672 , 3.2890451941704195
0.44999999999999996 , 0.05 , 6468.599904437159 , 0.0 , 4.826439088519009 , 4.619538791292968 , 1.4131236405630752 , -0.350522299281716 , -2.352997976910941 , 4.945721165608359 , 0.35 , 0.2 , 2.8 , 0.0 , 0.35 , -0.35 , -1.2 , 0.0 , 6469.894212526883 , 0.0 , 4.6598578934835615 , 4.6598578934835615 , 1.2884059222582682 , -1.794801241732775 , -1.794801241732775 , 3.2922004446379667
