time , step-size , {uavCont}.controller.pitchOut , {uavCont}.controller.rollOut , {uavCont}.controller.throttleOut , {uavCont}.controller.yawOut , {uavGlobalCont}.global.uav1TargetX , {uavGlobalCont}.global.uav1TargetY , {uavGlobalCont}.global.uav1TargetZ , {uav}.uav.batteryCharge , {uav}.uav.currentPitch , {uav}.uav.currentRoll , {uav}.uav.currentYaw , {uav}.uav.posX , {uav}.uav.posY , {uav}.uav.posZ , {uav}.uav.velX , {uav}.uav.velY , {uav}.uav.velZ
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 0.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0
0.05 , 0.05 , 0.35 , -0.35 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , 6480.0 , 0.0 , 0.0 , 0.0 , 5.0 , 5.0 , 0.48773978499389453 , 0.0 , 0.0 , -0.4903016023394045
0.1 , 0.05 , 0.35 , -0.35 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , 6480.0 , 0.13405912801440112 , -0.13405912801440112 , 0.0 , 5.0 , 5.0 , 0.4407069742734344 , 0.0 , 0.0 , -1.0769745290617336
0.15000000000000002 , 0.05 , 0.35 , -0.35 , 5.8 , 0.0 , 0.0 , 0.0 , 4.0 , 6480.0 , 0.20518490623012176 , -0.20518490623012176 , 0.0 , 5.0 , 5.0 , 0.37469146913845064 , 0.0 , 0.0 , -1.563069219085933
0.2 , 0.05 , 0.35 , -0.35 , 6.8 , 0.0 , 0.0 , 0.0 , 4.0 , 6478.785492381697 , 0.24480453612151168 , -0.24480453612151168 , 0.0 , 4.996043210791862 , 4.996043210791862 , 0.32213149691038223 , -0.21686129813812988 , -0.21686129813812988 , -1.0093328385385718
0.25 , 0.05 , 0.35 , -0.35 , 6.8 , 0.0 , 0.0 , 0.0 , 4.0 , 6477.214606747546 , 0.27945341553152064 , -0.27945341553152064 , 0.0 , 4.977578864453702 , 4.977578864453702 , 0.28845285763343914 , -0.5283043795020428 , -0.5283043795020428 , -0.34212765852890514
0.3 , 0.05 , 0.35 , -0.35 , 6.8 , 0.0 , 0.0 , 0.0 , 4.0 , 6475.6070011178435 , 0.3026897796095368 , -0.3026897796095368 , 0.0 , 4.942750679708262 , 4.942750679708262 , 0.28760204787387966 , -0.8689396408126938 , -0.8689396408126938 , 0.3051417940777869
0.35 , 0.05 , 0.35 , -0.35 , 5.8 , 0.0 , 0.0 , 0.0 , 4.0 , 6473.976717500374 , 0.3182726389908463 , -0.3182726389908463 , 0.0 , 4.890400135870195 , 4.890400135870195 , 0.31873537096581883 , -1.2275692671239478 , -1.2275692671239478 , 0.9377879307431437
0.39999999999999997 , 0.05 , 0.35 , -0.35 , 4.8 , 0.0 , 0.0 , 0.0 , 4.0 , 6472.332122004942 , 0.3287228757698182 , -0.3287228757698182 , 0.0 , 4.819827165310882 , 4.819827165310882 , 0.3811820209119858 , -1.5967366759337471 , -1.5967366759337471 , 1.5579516023135271
0.44999999999999996 , 0.05 , 0.35 , -0.35 , 4.3 , 0.0 , 0.0 , 0.0 , 4.0 , 6470.678337678767 , 0.3357310535415796 , -0.3357310535415796 , 0.0 , 4.730640739843388 , 4.730640739843388 , 0.4743485898447633 , -1.9713444727509262 , -1.9713444727509262 , 2.1667032759172082
0.49999999999999994 , 0.05 , 0.35 , -0.35 , 4.3 , 0.0 , 0.0 , 0.0 , 4.0 , 6469.018576755665 , 0.34043090453246233 , -0.34043090453246233 , 0.0 , 4.622663864247966 , 4.622663864247966 , 0.5976751919420168 , -2.347810494360252 , -2.347810494360252 , 2.764355634707871
